"year","sex","tbalc","carc","prsc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
71,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
72,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
73,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
74,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
75,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
76,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
77,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
78,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
79,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
80,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
81,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
82,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
83,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
84,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
85,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
86,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
87,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
88,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
89,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
90,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
91,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
92,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
93,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
94,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
95,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
96,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
97,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
98,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
99,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
